idx,facility_name,source_id,authority_type,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
502,Big Plans for Little Kids,1478,ECS Private Operator,N,N,N,4108 Montgomery View NW Calgary AB T3B0L9,Calgary,AB,T3B0L9,Province of Alberta,4108 montgomery view nw calgary ab t3b0l9,4108,montgomery view nw
503,Copperfield Farms Colony School,1479,Public,Y,Y,Y,c/o Horizon School Divisiion 6302 - 56 Street Taber AB T1G1Z9,Taber,AB,T1G1Z9,Province of Alberta,c/o horizon school divisiion 6302 56 street taber ab t1g1z9,6302,56 street
504,Okotoks Home Schooling,1482,Separate,Y,Y,Y,Box 137 Okotoks AB T1S1A4,Okotoks,AB,T1S1A4,Province of Alberta,okotoks ab t1s1a4,,
505,Christ the King Catholic School,1484,Separate,Y,Y,N,333 Cranston Way SE Calgary AB T3M1K6,Calgary,AB,T3M1K6,Province of Alberta,333 cranston way se calgary ab t3m1k6,333,cranston way se
506,Our Lady of the Evergreens Catholic School,1485,Separate,Y,N,N,322 Everridge Dr. S.W. Calgary AB T2Y0L5,Calgary,AB,T2Y0L5,Province of Alberta,322 everridge dr sw calgary ab t2y0l5,322,everridge dr sw
507,Light of Christ Catholic School,1486,Separate,Y,Y,N,6270 Saddlehorn Dr. N.E. Calgary AB T3J0L8,Calgary,AB,T3J0L8,Province of Alberta,6270 saddlehorn dr ne calgary ab t3j0l8,6270,saddlehorn dr ne
508,Saamis REAL Outreach,1489,Public,N,N,Y,770 - 1 Street S.E. Medicine Hat AB T1A0B4,Medicine Hat,AB,T1A0B4,Province of Alberta,770 1 street se medicine hat ab t1a0b4,770,1 street se
509,Fairview College - Northern Region,1492,Provincial,N,N,N,10901 - 93 Street High Level AB T0H1Z0,High Level,AB,T0H1Z0,Province of Alberta,10901 93 street high level ab t0h1z0,10901,93 street
510,High Level Christian Academy,1495,Private School,Y,Y,N,P.O. Box 1110 High Level AB T0H1Z0,High Level,AB,T0H1Z0,Province of Alberta,high level ab t0h1z0,,
511,Academie Saint-Andre Academy,1496,Separate,Y,N,N,5811 Rue Eaglemont Beaumont AB T4X0X1,Beaumont,AB,T4X0X1,Province of Alberta,5811 rue eaglemont beaumont ab t4x0x1,5811,rue eaglemont
512,Holy Trinity School,1497,Separate,Y,Y,N,Box 4228 Olds AB T4H1P8,Olds,AB,T4H1P8,Province of Alberta,olds ab t4h1p8,,
513,Bridlewood School,1498,Public,Y,N,N,207 Bridleridge Way S.W. Calgary AB T2Y0L4,Calgary,AB,T2Y0L4,Province of Alberta,207 bridleridge way sw calgary ab t2y0l4,207,bridleridge way sw
514,Cranston School,1499,Public,Y,N,N,205 Cranston Drive SE Calgary AB T3M1E8,Calgary,AB,T3M1E8,Province of Alberta,205 cranston drive se calgary ab t3m1e8,205,cranston drive se
515,Evergreen School,1500,Public,Y,N,N,367 Everstone Dr. SW Calgary AB T2Y0L3,Calgary,AB,T2Y0L3,Province of Alberta,367 everstone dr sw calgary ab t2y0l3,367,everstone dr sw
516,Lloyd Garrison School,1501,Public,Y,Y,Y,P.O. Box 220 Berwyn AB T0H0E0,Berwyn,AB,T0H0E0,Province of Alberta,berwyn ab t0h0e0,,
517,Dixonville School,1504,Public,Y,Y,N,P.O. Box 230 Dixonville AB T0H1E0,Dixonville,AB,T0H1E0,Province of Alberta,dixonville ab t0h1e0,,
518,Grimshaw Public School,1505,Public,Y,Y,Y,P.O. Box 468 Grimshaw AB T0H1W0,Grimshaw,AB,T0H1W0,Province of Alberta,grimshaw ab t0h1w0,,
519,Paul Rowe Junior Senior High School,1507,Public,N,Y,Y,P.O. Box 488 Manning AB T0H2M0,Manning,AB,T0H2M0,Province of Alberta,manning ab t0h2m0,,
520,Manning Elementary School,1508,Public,Y,N,N,P.O. Box 779 Manning AB T0H2M0,Manning,AB,T0H2M0,Province of Alberta,manning ab t0h2m0,,
521,Nampa Public School,1510,Public,Y,N,N,P.O. Box 210 Nampa AB T0H2R0,Nampa,AB,T0H2R0,Province of Alberta,nampa ab t0h2r0,,
522,Peace River High School,1511,Public,N,Y,Y,10001 - 91 Avenue Peace River AB T8S1Z5,Peace River,AB,T8S1Z5,Province of Alberta,10001 91 avenue peace river ab t8s1z5,10001,91 avenue
523,T A Norris Middle School,1512,Public,Y,Y,N,8701 - 95 Street Peace River AB T8S1R6,Peace River,AB,T8S1R6,Province of Alberta,8701 95 street peace river ab t8s1r6,8701,95 street
524,Springfield Elementary School,1514,Public,Y,N,N,7701 - 99 Street Peace River AB T8S1R4,Peace River,AB,T8S1R4,Province of Alberta,7701 99 street peace river ab t8s1r4,7701,99 street
525,Fairview College - Peace River,1517,Provincial,N,N,N,P.O. Bag 3500 Peace River AB T8S1V9,Peace River,AB,T8S1V9,Province of Alberta,po bag 3500 peace river ab t8s1v9,,
526,Royal Oak School,1519,Public,Y,N,N,9100 Royal Birch Blvd NW Calgary AB T3G5R8,Calgary,AB,T3G5R8,Province of Alberta,9100 royal birch blvd nw calgary ab t3g5r8,9100,royal birch blvd nw
527,Saddle Ridge School,1520,Public,Y,N,N,368 Saddlecrest Blvd N.E. Calgary AB T3J5L6,Calgary,AB,T3J5L6,Province of Alberta,368 saddlecrest blvd ne calgary ab t3j5l6,368,saddlecrest blvd ne
528,West Springs School,1521,Public,Y,N,N,8999 Wentworth Ave S.W. Calgary AB T3H0P7,Calgary,AB,T3H0P7,Province of Alberta,8999 wentworth ave sw calgary ab t3h0p7,8999,wentworth ave sw
529,Revelation On-Line,1522,Separate,N,N,Y,10830 109 St Edmonton AB T5H3C1,Edmonton,AB,T5H3C1,Province of Alberta,10830 109 st edmonton ab t5h3c1,10830,109 st
530,Kinuso Outreach Program,1524,Public,N,Y,Y,Box 428 Kinuso AB T0G1K0,Kinuso,AB,T0G1K0,Province of Alberta,kinuso ab t0g1k0,,
531,Fresh Start Outreach Program,1525,Separate,N,N,Y,1010 - 21 Avenue S.E. Calgary AB T2G1N2,Calgary,AB,T2G1N2,Province of Alberta,1010 21 avenue se calgary ab t2g1n2,1010,21 avenue se
532,Buck Mountain Outreach Program,1526,Public,N,N,Y,P.O. Box 30 Buck Lake AB T0C0T0,Buck Lake,AB,T0C0T0,Province of Alberta,buck lake ab t0c0t0,,
533,REAL McMan,1527,Public,Y,Y,N,770 - 1 Street S.E. Medicine Hat AB T1A0B4,Medicine Hat,AB,T1A0B4,Province of Alberta,770 1 street se medicine hat ab t1a0b4,770,1 street se
534,Lethbridge Montessori Kindergarten-Forestry Avenue Campus,1528,ECS Private Operator,N,N,N,Lethbridge Montessori School 3611 Forestry Ave. S. Lethbridge AB T1K3L5,Lethbridge,AB,T1K3L5,Province of Alberta,lethbridge montessori school 3611 forestry ave s lethbridge ab t1k3l5,3611,forestry ave s
535,Castor Outreach School,1529,Public,N,N,Y,P.O. Box 119 Castor AB T0C0X0,Castor,AB,T0C0X0,Province of Alberta,castor ab t0c0x0,,
536,Coronation Outreach School,1530,Public,N,N,Y,P.O. Box 280 Coronation AB T0C1C0,Coronation,AB,T0C1C0,Province of Alberta,coronation ab t0c1c0,,
537,Oaks and Acorns Montessori at Auburn Bay,1535,ECS Private Operator,N,N,N,500 Midpark Way SE Calgary AB T2X3S3,Calgary,AB,T2X3S3,Province of Alberta,500 midpark way se calgary ab t2x3s3,500,midpark way se
538,Carmangay Outreach,1538,Public,N,Y,Y,Box 194 Carmangay AB T0L0N0,Carmangay,AB,T0L0N0,Province of Alberta,carmangay ab t0l0n0,,
539,Shadow Ranch Colony School,1541,Public,Y,Y,N,"c/o Palliser Regional Schools #101, 3305 - 18 Ave North Lethbridge AB T1H5S1",Lethbridge,AB,T1H5S1,Province of Alberta,c/o palliser regional schools #101 3305 18 ave north lethbridge ab t1h5s1,3305,18 ave north
540,Fairview and Area Learning Store,1542,Public,N,N,Y,Bag 2700 Fairview AB T0H1L0,Fairview,AB,T0H1L0,Province of Alberta,bag 2700 fairview ab t0h1l0,,
541,Mistassiniy Outreach Program,1543,Public,N,N,Y,P. O. Box 406 Wabasca AB T0G2K0,Wabasca,AB,T0G2K0,Province of Alberta,p o wabasca ab t0g2k0,,
542,Bill Woodward School,1544,Public,Y,Y,Y,107 Christina Dr. Anzac AB T0P1J0,Anzac,AB,T0P1J0,Province of Alberta,107 christina dr anzac ab t0p1j0,107,christina dr
543,Art Smith Aviation Academy,1545,Public,Y,Y,N,4 Wing Cold Lake Box 4430 Cold Lake AB T9M2C1,Cold Lake,AB,T9M2C1,Province of Alberta,4 wing cold lake cold lake ab t9m2c1,,
544,Centre for Alternative and Virtual Education,1546,Public,N,Y,Y,4717 - 47 Ave Athabasca AB T9S1R2,Athabasca,AB,T9S1R2,Province of Alberta,4717 47 ave athabasca ab t9s1r2,4717,47 ave
545,Vilna Off-Campus Achievement Academy,1547,Public,N,Y,Y,4816 - 51 Street Vilna AB T0A3L0,Vilna,AB,T0A3L0,Province of Alberta,4816 51 street vilna ab t0a3l0,4816,51 street
546,École Héritage,1550,Francophone,Y,Y,Y,C.P. 480 Falher AB T0H1M0,Falher,AB,T0H1M0,Province of Alberta,falher ab t0h1m0,,
547,Gateway Academy Onoway,1551,Public,N,Y,Y,c/o Onoway Junior Senior High P.O. Box 340 Onoway AB T0E1V0,Onoway,AB,T0E1V0,Province of Alberta,c/o onoway junior senior high onoway ab t0e1v0,,c/o onoway junior senior high
548,Gateway Academy Whitecourt,1552,Public,N,Y,Y,c/o Hilltop High School 71 Sunset Boulevard Whitecourt AB T7S1N1,Whitecourt,AB,T7S1N1,Province of Alberta,c/o hilltop high school 71 sunset boulevard whitecourt ab t7s1n1,71,sunset boulevard
549,Northstar Outreach,1553,Public,N,N,Y,P O Box 729 Tofield AB T0B4J0,Tofield,AB,T0B4J0,Province of Alberta,p o tofield ab t0b4j0,,
550,Sanctuary Outreach,1554,Separate,N,N,Y,3615 Radcliffe Dr. SE Calgary AB T2A6B4,Calgary,AB,T2A6B4,Province of Alberta,3615 radcliffe dr se calgary ab t2a6b4,3615,radcliffe dr se
551,MAC Islamic School,1557,Private School,Y,Y,N,11342 - 127 Street Edmonton AB T5M0T8,Edmonton,AB,T5M0T8,Province of Alberta,11342 127 street edmonton ab t5m0t8,11342,127 street
