,ID,NOM_TOPOGRAPHIE,NO_CIVIQUE,RUE,DESCRIPTION,SUPERFICIE,PERIMETRE,GEOMETRIE,LONGITUDE,LATITUDE
135,200923,Bassin de rétention des Topazes,,Rue des Topazes,Bassins de rétention,0,0,POINT (-71.25287559004008 46.88303185058972),46.88303185058972,-71.25287559004008
136,200517,Bassin de rétention des Yvelines,615.0,Rue des Yvelines,Bassins de rétention,0,0,POINT (-71.31852630982036 46.90180243515309),46.90180243515309,-71.31852630982036
137,200890,Bassin de rétention d'Oviedo,,Rue de Vérone,Bassins de rétention,0,0,POINT (-71.33565031368406 46.84528536081796),46.84528536081796,-71.33565031368406
138,200912,Bassin de rétention du Balkan,,Rue du Balkan,Bassins de rétention,0,0,POINT (-71.20532049183215 46.90472274775765),46.90472274775765,-71.20532049183215
139,200832,Bassin de rétention du Bastingage,,Rue de la Rive-Boisée Nord,Bassins de rétention,0,0,POINT (-71.3316876091109 46.83573104446694),46.83573104446694,-71.3316876091109
140,200973,Bassin de rétention du Boisé-Royal,,Avenue de l'Amiral,Bassins de rétention,0,0,POINT (-71.41582482078447 46.8405532951954),46.8405532951954,-71.41582482078447
141,203004,Bassin de rétention du Bourg-Royal,,Rue de Dover,Bassins de rétention,0,0,POINT (-71.24618669324653 46.88063479617331),46.88063479617331,-71.24618669324653
142,203151,Bassin de rétention du Brévent,,Rue des Aigremoines,Bassins de rétention,0,0,POINT (-71.20539949134155 46.917156256906985),46.917156256906985,-71.20539949134155
143,200450,Bassin de rétention du Cabestan,,Rue du Cabestan,Bassins de rétention,0,0,POINT (-71.42346342392064 46.84338252154627),46.84338252154627,-71.42346342392064
144,203115,Bassin de rétention du Calcaire-1,,Rue du Calcaire,Bassins de rétention,0,0,POINT (-71.2998383909584 46.8500356752872),46.8500356752872,-71.2998383909584
145,203116,Bassin de rétention du Calcaire-2,,Rue du Calcaire,Bassins de rétention,0,0,POINT (-71.29836895893797 46.8498374208643),46.8498374208643,-71.29836895893797
146,202653,Bassin de rétention du Calumet,,Rue de la Camomille,Bassins de rétention,0,0,POINT (-71.33033335005818 46.84438994990935),46.84438994990935,-71.33033335005818
147,200573,Bassin de rétention du Centenaire,,Avenue du Centenaire,Bassins de rétention,0,0,POINT (-71.25366269632732 46.86323306639169),46.86323306639169,-71.25366269632732
148,203153,Bassin de rétention du Clair-Soleil,,Rue François-Paquet,Bassins de rétention,0,0,POINT (-71.36645724599416 46.90178652285684),46.90178652285684,-71.36645724599416
149,202669,Bassin de rétention du Corail,,Rue de l'Escarpement,Bassins de rétention,0,0,POINT (-71.4003581848298 46.84901923567985),46.84901923567985,-71.4003581848298
