Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
120901,2007,07BP14,,20070313,Approved,20070327,20080327,,Part Parcel B,N/A,4472JK,,107,Tunnel Mountain Dr,,,Commercial,,,20000.0000000,157.6000000,5.5100000,Remedial Roof Work - Roof Replace Demolition,Mar 20 Mar27
001218,2007,07BP15,,20070319,Approved,2007041,2008041,,1-3,1,7202HE,,102,Spray Ave,,YWCA,Institutional,,,2500000.0000000,19700.0000000,500.0000000,Third floor addition onto main bldg & oero bldg - Addition,Mar 27 April 10
000785,2007,07BP16,,20070327,Approved,20070327,20080327,,,,,,,,,,Demolition,,,0.0000000,75.0000000,4.0000000,Demolition,
003001,2007,07BP17,,20070404,Approved,20070417,20080417,,,,0614742,1&2,240/242,Jasper Way,,,Residential,,,500000.0000000,3940.0000000,87.5000000,Two half duplexes - Also Roll # 003002 - Semi-Detached,Apr 10 Apr 17
003003,2007,07BP18,,20070404,Approved,20070417,20080417,,,,0614742,3&4,244/246,Jasper Way,,,Residential,,,500000.0000000,3940.0000000,87.5000000,Two half duplexes - Also Roll #003004 - Semi-Detached244/246 Jasper Way,Apr 10 Apr 17
003005,2007,07BP19,,20070404,Approved,20070417,20080417,,,,0614742,5&6,248/250,Jasper Way,,,Residential,,,500000.0000000,3940.0000000,87.5000000,Two half duplexes - Also Roll #003006 - Semi-Detached248/250 Jasper Ave,Apr 10 Apr147
003007,2007,07BP20,,20070404,Approved,20070417,20080417,,,,0614742,7&8,252/254,Jasper Way,,,Residential,,,500000.0000000,3940.0000000,87.5000000,Two half duplexes - Also Roll #003008 - Semi-Detached,Apr 10Apr 17
003009,2007,07BP21,,20070404,Approved,20070417,20080417,,,,0614742,9&10,258/258,Jasper Way,,,Residential,,,500000.0000000,3940.0000000,87.5000000,Two half duplexes - Also Roll #003010 - Semi-Detached,Apr 10  Apr  10
001266,2007,07BP22,,20070405,Approved,20070424,20080424,,17,24,891519,,223,Jasper Way,,,Residential,,,80000.0000000,630.4000000,22.0600000,Enclose garage & extend front entry - Semi-Det Add,Apr04 Apr 24
000225,2007,07BP23,,2007041,Approved,20070417,20080417,,"1,2&3",11,6719BC,,317,Banff Ave,,,Commercial,,,90000.0000000,709.2000000,24.8200000,Renovations to exisiting retail unit - IP Indigo Books 317-Banff Ave,Apr 17  Apr 17
009034,2007,07BP24,,20070417,,,,,13,58,3939JK,,124,Eagle Cres,,,Commercial,,,650000.0000000,5122.0000000,179.2700000,Trade Bays - Residential and Parking - CANCELLED M,
000122,2007,07BP25,,20070424,Approved,20070501,20080501,,7/8/9,6,6719BC,L-08,215,Banff Ave,,Little Shop of Holes,Commercial,,,5000.0000000,100.0000000,4.0000000,Renovations to exisiting retail unit - IP,Apr 23  May 01
000535,2007,07BP26,,20070424,Approved,20070501,20080501,,2,27,6719BC,,108,Otter St,,,Demolition,,,0.0000000,75.0000000,4.0000000,Demolition - Single Family Dwelling Demo,May 01  May 01
084702,2007,07BP27,,20070426,Approved,20070501,20080501,,4-5,R1,9611050,,107,Glen Ave,,,Residential,,,1000.0000000,100.0000000,4.0000000,Remove french doors & install/remove windows - Alteration,Apr 25  May 01
000106,2007,07BP28,,20070503,Approved,20070508,20080508,,4-8,5,6719BC,,211,Bear St,,,Commercial,,,4000.0000000,100.0000000,4.0000000,Interior Partitioning,May03 May08
000227,2007,07BP29,,20070507,Approved,20070515,20080515,,16,11,0011047,,318,Marten St,,Canada Safeway,Commercial,,,600000.0000000,4728.0000000,165.4800000,Renovation of existing Safeway grocery store - Interior Partitioning,May08May15
001298,2007,07BP30,,20070507,Approved,20070508,20080508,,13,26,8911519,,121,Glacier Dr,,,Residential,,,7500.0000000,100.0000000,4.0000000,New roof over new entrance deck - Replace Deck,May07 May08
000125,2007,07BP31,,20070511,Approved,20070515,20080515,,12,6,6719BC,,225,Banff Ave,,,Commercial,,,3000.0000000,100.0000000,4.0000000,"Remove night deposit, replace w/ new wall & door. - Interior Partitioning",May15May15
000894,2007,07BP32,,20070514,,,,,7,3,2296HG,,141,Kootenay Ave,,,Demolition,,,0.0000000,75.0000000,4.0000000,Demolition - Single Family Dwelling Demo,May15May15
000106,2007,07BP33,,20070517,Approved,20070522,20080522,,4-8,5,6719BC,110,211,Bear St,,,Commercial,,,20000.0000000,157.6000000,5.5200000,Interior Partitioning,May22 May22
000155,2007,07BP34,,20070517,Approved,20070522,20080522,,9/10,8,6719BC,,218-220,Beaver St,,,Residential,,,1000.0000000,100.0000000,4.0000000,Drywall ceiling of cabin Q - Fire Upgrade,May 22 May 22
000307,2007,07BP35,,20070522,Approved,20070529,20080529,,5,16,6719BC,,336,Muskrat St,,,Residential,,,0.0000000,75.0000000,4.0000000,Demolition of garage - Det.Gar. Demo,May 29 May 29
000307,2007,07BP36,,20070522,Approved,20070529,20080529,,5,16,6719BC,,336,Muskrat St,,,Residential,,,1300.0000000,100.0000000,4.0000000,New shed - Shed,May 29 May29
000311,2007,07BP37,,20070529,,,,,9,16,6719BC,,344B,Muskrat St,,,Residential,,,1000.0000000,100.0000000,4.0000000,New deck and door - Deck New Door,May 29 May 29
000369,2007,07BP38,,20070611,Approved,20070612,20080612,,27-30,19,1211HU,,461,Banff Ave,,,Commercial,,,185000.0000000,1457.8000000,51.0200000,Restaurant within a Hotel (kitchen equip & HVAC) - Restaurant,Jun 12 Jun 12
121113,2007,07BP39,,20070613,,,,,32,13,70784,,219,Springs Cres,,,Demolition,,,0.0000000,75.0000000,4.0000000,Demolition - Single Family Dwelling Demolition,Jun 19 Jun 19
000386,2007,07BP40,,20070619,Approved,20070724,20080724,,49,19,1211HU,,412,Cougar St,,,Residential,,,180000.0000000,1418.4000000,49.6400000,Addition to a single family dwelling - Addition,July024/07 july 24/07
000122,2007,07BP41,,20070704,Approved,2007071,2008071,,7 - 9,6,6719BC,L-07,,,Sundance Mall,,Commercial,,,10000.0000000,100.0000000,4.0000000,Rudegirls (Retail) - Interior Partitioning,July 10  July  10
000696,2007,07BP42,,20070705,Approved,20070731,20080731,,1,64,7655JK,,238,Marmot St,,,Residential,,,25000.0000000,197.0000000,6.9000000,Renovation - Repair deck/Hot Tub,July 31   July 31
000649,2007,07BP43,,20070705,Approved,2007071,2008071,,4,55,2842IC,,337,Big Horn St,,,Demolition,,,0.0000000,75.0000000,4.0000000,Demolition - Single Family Dwelling Demo,July 10  July 10
000030,2007,07BP44,,20070706,Approved,20070717,20080717,,13 - 14,2,6719BC,#128,132,Banff Ave,,,Commercial,,,900000.0000000,7092.0000000,248.2200000,Elevator modernization - Elevator Addition,July 06 July  17
001268,2007,07BP45,,2007071,Approved,2007071,2008071,,1,25,8911519,,101,Glacier Dr,,,Residential,,,30000.0000000,236.4000000,8.2700000,Main floor renovation (Kitchen & front closet) - Single Family Dwelling Renovation,July 10 July 10
000322,2007,07BP46,,20070717,Approved,20070724,20080724,,1,1,6719BC,,401,Banff Ave,,Aspen Lodge,Commercial,,,460000.0000000,3624.8000000,126.8700000,"Courtyard, bathroom, lobby renovation",
121113,2007,07BP47,,20070717,,,,,32,13,70784,,219,Springs Cres,,,Residential,,,1000.0000000,100.0000000,4.0000000,Foundation at risk,
121113,2007,07BP48,,20070717,Approved,20070724,20080724,,32,13,70784,,219,Springs Cres,,,Residential,,,400000.0000000,3152.0000000,87.5000000,House Renovation - Single Family Dwelling Renovation,July 17  July 24
000520,2007,07BP49,,2007072,Approved,20070724,20080724,,11,26,6719BC,,226,Otter St,,,Residential,,,0.0000000,75.0000000,4.0000000,Demolition - Demo. Garage,July 24  July 24
