idx,facility_name,ISCED020,ISCED1,ISCED2,ISCED3,grade_range,address_str,city,postal_code,province,provider,address_str_clean,street_no,street_name
87,Home-based School,0,1,1,0,Gr. 1-7,sk,,,sk,Province of Saskatchewan,sk,,
88,Creighton Community School,1,1,1,1,Gr. K-12,BOX 158 CREIGHTON sk S0P 0A0,CREIGHTON,S0P 0A0,sk,Province of Saskatchewan,creighton sk s0p 0a0,,
89,Bear Stream School,1,1,1,1,Gr. K-11,BOX 1674 KAMSACK sk S0A 1S0,KAMSACK,S0A 1S0,sk,Province of Saskatchewan,kamsack sk s0a 1s0,,
90,Canora Composite School,0,1,1,1,Gr. 5-12,BOX 986 CANORA sk S0A 0L0,CANORA,S0A 0L0,sk,Province of Saskatchewan,canora sk s0a 0l0,,
91,Canora Junior Elementary School,1,1,0,0,Gr. K-4,BOX 1150 CANORA sk S0A 0L0,CANORA,S0A 0L0,sk,Province of Saskatchewan,canora sk s0a 0l0,,
92,Churchbridge Public School,1,1,1,1,Gr. K-12,BOX 470 CHURCHBRIDGE sk S0A 0M0,CHURCHBRIDGE,S0A 0M0,sk,Province of Saskatchewan,churchbridge sk s0a 0m0,,
93,Columbia School,1,1,1,0,Gr. K-8,119 BRADBROOKE DRIVE YORKTON sk S3N 2K3,YORKTON,S3N 2K3,sk,Province of Saskatchewan,119 bradbrooke drive yorkton sk s3n 2k3,119,bradbrooke drive
94,Davison School,1,1,0,0,Gr. K-6,BOX 2888 MELVILLE sk S0A 2P0,MELVILLE,S0A 2P0,sk,Province of Saskatchewan,melville sk s0a 2p0,,
95,Dr. Brass School,1,1,1,0,Gr. K-8,19 DARLINGTON STREET WEST YORKTON sk S3N 0E3,YORKTON,S3N 0E3,sk,Province of Saskatchewan,19 darlington street west yorkton sk s3n 0e3,19,darlington street west
96,Esterhazy High School,0,1,1,1,Gr. 6-12,BOX 640 ESTERHAZY sk S0A 0X0,ESTERHAZY,S0A 0X0,sk,Province of Saskatchewan,esterhazy sk s0a 0x0,,
97,Grayson School,1,1,1,0,Gr. K-8,BOX 10 GRAYSON sk S0A 1E0,GRAYSON,S0A 1E0,sk,Province of Saskatchewan,grayson sk s0a 1e0,,
98,Home-based School,1,1,1,1,Gr. K-12,sk,,,sk,Province of Saskatchewan,sk,,
99,Invermay School,1,1,1,1,Gr. K-12,BOX 219 INVERMAY sk S0A 1M0,INVERMAY,S0A 1M0,sk,Province of Saskatchewan,invermay sk s0a 1m0,,
100,Kamsack Comprehensive Institute,0,1,1,1,Gr. 5-12,BOX 579 KAMSACK sk S0A 1S0,KAMSACK,S0A 1S0,sk,Province of Saskatchewan,kamsack sk s0a 1s0,,
101,Langenburg Central School,1,1,1,1,Gr. K-12,BOX 10 LANGENBURG sk S0A 2A0,LANGENBURG,S0A 2A0,sk,Province of Saskatchewan,langenburg sk s0a 2a0,,
102,M.C. Knoll School,1,1,1,0,Gr. K-8,387 DARLINGTON STREET EAST YORKTON sk S3N 3Y9,YORKTON,S3N 3Y9,sk,Province of Saskatchewan,387 darlington street east yorkton sk s3n 3y9,387,darlington street east
103,MacDonald School,1,1,1,0,Gr. K-9,BOX 40 STOCKHOLM sk S0A 3Y0,STOCKHOLM,S0A 3Y0,sk,Province of Saskatchewan,stockholm sk s0a 3y0,,
104,Melville Comprehensive School,0,0,1,1,Gr. 7-12,BOX 1570 MELVILLE sk S0A 2P0,MELVILLE,S0A 2P0,sk,Province of Saskatchewan,melville sk s0a 2p0,,
105,Miller School,1,1,0,0,Gr. K-4,BOX 2800 MELVILLE sk S0A 2P0,MELVILLE,S0A 2P0,sk,Province of Saskatchewan,melville sk s0a 2p0,,
106,Norquay School,1,1,1,1,Gr. K-12,BOX 430 NORQUAY sk S0A 2V0,NORQUAY,S0A 2V0,sk,Province of Saskatchewan,norquay sk s0a 2v0,,
107,P.J. Gillen School,1,1,0,0,Gr. K-5,BOX 1420 ESTERHAZY sk S0A 0X0,ESTERHAZY,S0A 0X0,sk,Province of Saskatchewan,esterhazy sk s0a 0x0,,
