Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match,Check_1,Check_2,manual,idx_keep,idx_name,reason,errors,hierarchy_keep
40,40,40,40,40,40,5e60c0dbd43c04ca68ba,dc0234c749ca850c6639,Solomon College,Solomon College Ltd,0.789473684,0.904534034,0.862483363,0.862745098,Suite 228 10621 100 Avenue Edmonton AB T5J0B3,Suite 228 10621 100 Avenue Edmonton Alberta T5J0B3 Canada,1,1.0,1.0,1,,0,0,0,0,0,False,False,False,,,different ISCED,,NA
41,41,41,41,41,41,8aeead9948bcebf95930,9d085627e6a92e75991d,Reeves College Edmonton,Reeves College Edmonton South,0.793103448,0.901387819,0.657411243,0.642857143,#500 10004Jasper Avenue Edmonton Alberta T5J 1R3 Canada,Unit 103 9910 39th Avenue Edmonton Alberta T6E 5H8 Canada,0,0.285714286,0.612372436,0,7.490917908,1,1,1,1,1,False,False,False,,,different address,,NA
42,42,42,42,42,42,8aeead9948bcebf95930,3997c86ba765b549e187,Reeves College Edmonton,Reeves College Edmonton North,0.793103448,0.901387819,0.660799729,0.577777778,#500 10004Jasper Avenue Edmonton Alberta T5J 1R3 Canada,Units 174 and 200 Northtown Mall 9450 137 Avenue Edmonton Alberta T5E 6C2 Canada,0,0.333333333,0.654653671,0,6.479763657,1,1,1,1,1,False,False,False,,,different address,,NA
43,43,43,43,43,43,91b084d90e4387756ab9,eed2f876b54bb69a5c96,Northern Alberta Institute of Technology,Northern Alberta Institute of Technology,1.0,1.0,0.781767686,0.80952381,11762 106 Street Edmonton AB T5G2R1,11762 106th Street Edmonton Alberta T5G2R1 Canada,1,0.75,0.755928946,1,0.072156537,0,0,0,0,0,False,False,False,,,different ISCED,,NA
44,44,44,44,44,44,45e2e7d47a75d0719f22,74f40871f2ee8234dfec,Newman Theological College,Newman Theological College,1.0,1.0,0.661873127,0.666666667,c/o School of Hope 10012 84 Street Edmonton AB T6A0B2,10012 84 Street NW Edmonton Alberta T6A0B2 Canada,1,0.625,0.816496581,1,,0,0,0,0,0,False,False,False,,,different ISCED,,NA
45,45,45,45,45,45,2b7c9e4fa435e56b5bd4,0c102b207e625483e959,Kehewin Community Education Centre,Kehewin Community Education Centre Outreach,0.790697674,0.910436963,1.0,1.0,PO Box 30 Kehewin AB T0A1C0,PO Box 30 Kehewin AB T0A1C0,0,0.0,0.0,1,,0,0,0,0,1,False,False,False,,,different ISCED,,NA
46,46,46,46,46,46,c91bc8cd2c37f2f6e93e,f32096c976c469952fee,CDI College of Business Technology and Health Care Edmonton North,CLI College of Business Health and Technology Edmonton North,0.707692308,0.944997472,0.615917883,0.564102564,Units 174 & 280 Northtown Mall 9450 137 Ave Edmonton Alberta T5E6C2 Canada,8706 118 Ave Edmonton Alberta T5B0T1 Canada,0,0.666666667,0.571428571,0,3.376420537,1,1,1,1,1,False,False,False,,,different address,,NA
47,47,47,47,47,47,05e92970935cd4463632,c91bc8cd2c37f2f6e93e,CDI College of Business Technology and Health Care Edmonton City Centre,CDI College of Business Technology and Health Care Edmonton North,0.85915493,0.90291513,0.61168814,0.603174603,200 10004 Jasper Ave Edmonton Alberta T5J 1R3 Canada,Units 174 & 280 Northtown Mall 9450 137 Ave Edmonton Alberta T5E6C2 Canada,0,0.266666667,0.356348323,0,6.479763657,1,1,1,1,1,False,False,False,,,different address,,NA
48,48,48,48,48,48,d3a248a18950cfb5b361,d993b6f55d70c3e932a3,Alberta College of Massage Therapy Edmonton,Alberta College of Massage Therapy Edmonton South,0.87755102,0.948852208,0.620994205,0.640776699,2nd Floor 10434 122 Street Edmonton Alberta T5N 1M3 Canada,4620 99 Street Edmonton Alberta T6E5H5 Canada,0,0.5,0.46291005,0,7.60468292,1,1,1,1,1,False,False,False,,,different address,,NA
49,49,49,49,49,49,5befc08311a83174e231,901ee43c74beeb1f822e,Spruce Grove Composite High School,Spruce Grove Composite High School Outreach,0.790697674,0.917031539,1.0,1.0,1000 Calahoo Road Spruce Grove AB T7X2T7,1000 Calahoo Road Spruce Grove AB T7X2T7,1,1.0,1.0,1,,1,0,0,1,1,False,False,False,,,different ISCED,,NA
