Municipality,Building Use,Activity,Value of Permits,Number of Permits,Extract Date
TOWN OF ANTIGONISH,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF ANTIGONISH,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,Commercial,AdditionsAndRenovations,272333,3,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF BRIDGEWATER,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF CLARK'S HARBOUR,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF CLARK'S HARBOUR,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF CLARK'S HARBOUR,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF CLARK'S HARBOUR,Industrial,NewConstruction,10000,1,06/01/2019 07:30:40 AM
TOWN OF CLARK'S HARBOUR,InstitutionalAndGovernmental,AdditionsAndRenovations,200,1,06/01/2019 07:30:40 AM
TOWN OF CLARK'S HARBOUR,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF DIGBY,Commercial,AdditionsAndRenovations,49000,3,06/01/2019 07:30:40 AM
TOWN OF DIGBY,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF DIGBY,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF DIGBY,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF DIGBY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF DIGBY,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
TOWN OF LOCKEPORT,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
TOWN OF LOCKEPORT,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
