idx,facility_name,source_id,authority_type,grade_range,facility_type,address_str,street_addr,city,province,postal_code,provider,address_str_clean,street_no,street_name
480,Cousteau L'Ecole Francaise Interna'le,4496638,Independent School,K-9,Standard School,3657 Fromme Rd North Vancouver BC V7K 2E6,3657 Fromme Rd,North Vancouver,BC,V7K 2E6,Province of British Columbia,3657 fromme rd north vancouver bc v7k 2e6,3657,fromme rd
481,Cove Cliff Elementary,4444049,Public School,K-7,Standard School,1818 Banbury Rd North Vancouver BC V7G 1W4,1818 Banbury Rd,North Vancouver,BC,V7G 1W4,Province of British Columbia,1818 banbury rd north vancouver bc v7g 1w4,1818,banbury rd
482,Cowichan Open School,7979047,Public School,"10-12, SU",Standard School,1033 Nagle St Duncan BC V9L 2E6,1033 Nagle St,Duncan,BC,V9L 2E6,Province of British Columbia,1033 nagle st duncan bc v9l 2e6,1033,nagle st
483,Cowichan Secondary,7965009,Public School,"10-12, SU",Standard School,2652 James St Duncan BC V9L 2X2,2652 James St,Duncan,BC,V9L 2X2,Province of British Columbia,2652 james st duncan bc v9l 2x2,2652,james st
484,Cowichan Valley Distributed Learning,7999145,Public School,"K-12, SU, GA",Distributed Learning Programs,1033 Nagle St Duncan BC V9L 2E6,1033 Nagle St,Duncan,BC,V9L 2E6,Province of British Columbia,1033 nagle st duncan bc v9l 2e6,1033,nagle st
485,Cowichan Valley Open Learning Co-op,7999081,Public School,12-Jun,Alternate Programs,1033 Nagle St Duncan BC V9L 2E6,1033 Nagle St,Duncan,BC,V9L 2E6,Province of British Columbia,1033 nagle st duncan bc v9l 2e6,1033,nagle st
486,Coyote Creek Elementary,3636157,Public School,K-7,Standard School,8131 156 St Surrey BC V3S 3R4,8131 156 St,Surrey,BC,V3S 3R4,Province of British Columbia,8131 156 st surrey bc v3s 3r4,8131,156 st
487,Craigflower Elementary,6161010,Public School,K-5,Standard School,2766 Admirals Rd Victoria BC V9A 2R3,2766 Admirals Rd,Victoria,BC,V9A 2R3,Province of British Columbia,2766 admirals rd victoria bc v9a 2r3,2766,admirals rd
488,Craigflower StrongStart Centre,6125287,StrongStart BC,Pre-K,Early Learning Program,2766 Admirals Rd Victoria BC V9A 2R3,2766 Admirals Rd,Victoria,BC,V9A 2R3,Province of British Columbia,2766 admirals rd victoria bc v9a 2r3,2766,admirals rd
489,Crawford Bay Elem-Secondary,886006,Public School,K-12,Standard School,PO Box 100 Crawford Bay BC V0B 1E0,PO Box 100,Crawford Bay,BC,V0B 1E0,Province of British Columbia,crawford bay bc v0b 1e0,,
