OBJECTID;DT_MAJ_GDUNO;CD_IMM;CD_CS;NUM_IMM_CS;NOM_OFFCL;ADRS_GEO_L1_GDUNO;ADRS_GEO_L2_GDUNO;CD_MUNCP;NOM_MUNCP;STAT_MUNCP;CD_POSTL_GDUNO;PRESC;PRIM;SEC;FORM_PRO;ADULTE;STAT_PROP_IMM;COORD_X_LL84;COORD_Y_LL84;ORDRE_ENS;TYPE_CS;STYLE_CART
399;20201019;713035;713000;035;Saint-Pierre;666, 6e rue Ouest;;13005;Dégelis;V;G5T1Y4;1;1;0;0;0;Propriété de la CS;-68.646851;47.546468;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
400;20201019;713036;713000;036;Farandole, de la;379, avenue Principale;;13005;Dégelis;V;G5T1L3;1;0;0;0;0;Propriété de la CS;-68.646281;47.549461;Préscolaire;Franco;1_Imm_Franco_primaire
401;20201019;714086;714000;086;Notre-Dame-du-Sourire;280, rue Sirois;;12030;Saint-Épiphane;M;G0L2X0;1;1;0;0;1;Propriété de la CS;-69.329121;47.898736;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
402;20201019;714088;714000;088;Desbiens;3, rue de la Fabrique;;12065;Saint-Arsène;P;G0L2K0;1;1;0;0;1;Propriété de la CS;-69.433342;47.913823;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
403;20201019;714090;714000;090;Lanouette;18, rue du Couvent;;12015;Saint-Antonin;M;G0L2J0;1;1;0;0;1;Propriété de la CS;-69.477974;47.76076;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
404;20201019;734058;734000;058;Joseph-Paquin;465, 64e Rue Est;;23027;Québec;V;G1H1Y1;1;1;1;0;0;Propriété de la CS;-71.253859;46.856491;Préscolaire - Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
405;20201019;734074;734000;074;Maison des adultes - CEA;480, 67e Rue Est;;23027;Québec;V;G1H1V5;0;0;0;0;1;Propriété de la CS;-71.254553;46.857145;Éducation aux adultes;Franco;4_Imm_Franco_Fp_Adulte
406;20201019;734015;734000;015;Constellations, des;7220, avenue Trudelle;;23027;Québec;V;G1H5S3;1;1;0;0;0;Propriété de la CS;-71.27317;46.853268;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
407;20201019;732023;732000;023;Jean-XXIII;3690, rue Antonin-Marquis;;23027;Québec;V;G1P3B9;1;1;0;0;0;Propriété de la CS;-71.311298;46.817153;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
408;20201019;713037;713000;037;Notre-Dame;2422, rue Commerciale S;;13073;Témiscouata-sur-le-Lac;V;G0L1X0;1;1;1;0;0;Propriété de la CS;-68.794865;47.612823;Préscolaire - Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
409;20201019;713040;713000;040;Plein-Soleil;37, chemin Principal;;13040;Saint-Juste-du-Lac;M;G0L3R0;0;1;1;0;0;Propriété de la CS;-68.755869;47.653054;Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
410;20201019;713041;713000;041;Chanterelle, de la;84, Route 295;;13040;Saint-Juste-du-Lac;M;G0L1V0;0;0;0;0;0;Propriété de la CS;-68.667979;47.665588;;Franco;5_Imm_Franco_Autre
411;20201019;713042;713000;042;Clair-Matin;70, rue du Parc;;13050;Lejeune;M;G0L1S0;0;1;1;0;0;Propriété de la CS;-68.576251;47.768643;Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
412;20201019;714092;714000;092;Pèlerins, les;6, chemin de la Madone;;14040;Saint-André;M;G0L2H0;1;1;0;0;1;Propriété de la CS;-69.727533;47.673152;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
413;20201019;714094;714000;094;Notre-Dame-du-Portage;539, route du Fleuve;;12080;Notre-Dame-du-Portage;M;G0L1Y0;1;1;0;0;1;Propriété de la CS;-69.610991;47.767801;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
414;20201019;734080;734000;080;Plateau, du;8595, boulevard Cloutier;;23027;Québec;V;G1G4Z5;1;1;0;0;0;Propriété de la CS;-71.279507;46.86348;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
415;20201019;734019;734000;019;Escale, de l';8805, avenue de Laval;;23027;Québec;V;G1G4X6;1;1;0;0;0;Propriété de la CS;-71.280097;46.86385;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
416;20201019;734092;734000;092;Constellations 2, des;7260, boulevard Cloutier;;23027;Québec;V;G1H3E8;0;0;0;0;0;Propriété de la CS;-71.27362;46.853549;;Franco;5_Imm_Franco_Autre
417;20201019;732028;732000;028;Mosaïque, de la;2264, rue Lemieux;;23027;Québec;V;G1P2V1;1;1;0;0;0;Propriété de la CS;-71.298336;46.813466;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
418;20201019;732016;732000;016;Domaine, du;1630, rue des Balsamines;;23027;Québec;V;G1M2K9;1;1;0;0;0;Propriété de la CS;-71.282254;46.814162;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
419;20201019;713044;713000;044;Marguerite, de la;775, rue du Clocher;;13045;Auclair;M;G0L1A0;1;1;1;0;0;Propriété de la CS;-68.641664;47.727503;Préscolaire - Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
420;20201019;713045;713000;045;Beaucourt;111, rue de l'Église;;13015;Packington;P;G0L1Z0;0;1;1;0;0;Propriété de la CS;-68.786535;47.489695;Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
421;20201019;714097;714000;097;Saint-Modeste;4, rue de l'Église Sud;;12020;Saint-Modeste;M;G0L3W0;1;1;0;0;1;Propriété de la CS;-69.401211;47.832858;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
422;20201019;714135;714000;135;Croisée II, la;15, rue Vézina;;12072;Rivière-du-Loup;V;G5R2H2;0;1;0;0;1;Propriété de la CS;-69.522477;47.826992;Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
423;20201019;734016;734000;016;Deux-Moulins, des (du Rucher);1075, 60e Rue Est;;23027;Québec;V;G1H2E3;1;1;0;0;0;Propriété de la CS;-71.241739;46.858217;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
485;20201019;714079;714000;079;Moisson-d'Arts;136, rue Saint-Jean-Baptiste;;12043;L'Isle-Verte;M;G0L1K0;1;1;0;0;1;Propriété de la CS;-69.336836;48.015384;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
486;20201019;714082;714000;082;Riou;125, rue Principale;;12025;Saint-François-Xavier-de-Viger;M;G0L3C0;0;1;0;0;1;Propriété de la CS;-69.245223;47.856659;Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
487;20201019;734066;734000;066;Sentiers, des;1090, chemin de Château-Bigot;;23027;Québec;V;G2L1G1;0;0;1;0;0;Propriété de la CS;-71.268234;46.886002;Secondaire;Franco;3_Imm_Franco_secondaire
488;20201019;734107;734000;107;Châtelet, du;1495, rue du Vice-Roi;;23027;Québec;V;G2L2E5;1;1;0;0;0;Propriété de la CS;-71.260977;46.893383;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
489;20201019;821016;821000;016;Saint-Anselme, secondaire de;825, route Bégin;;19062;Saint-Anselme;M;G0R2N0;0;0;1;1;1;Propriété de la CS;-70.966349;46.630296;Secondaire - Formation professionnelle - Éducation aux adultes;Franco;3_Imm_Franco_secondaire
490;20201019;713024;713000;024;Marie-Reine-des-Coeurs;1250, rue Beaupré;;13095;Pohénégamook;V;G0L1J0;0;1;1;0;0;Propriété de la CS;-69.223888;47.462002;Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
491;20201019;713025;713000;025;Saint-Joseph;479, rue Saint-Vallier;;13095;Pohénégamook;V;G0L1J0;1;1;1;0;0;Propriété de la CS;-69.280444;47.487881;Préscolaire - Primaire - Secondaire;Franco;2_Imm_Franco_prim_sec
492;20201019;823056;823000;056;Étincelle de Sainte-Marguerite, l';359, rue Saint-Jacques;;26035;Sainte-Marguerite;P;G0S2X0;1;1;0;0;1;Propriété de la CS;-70.931089;46.513449;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
493;20201019;823057;823000;057;Accueil, l';1030, rte du Président-Kennedy;;26048;Scott;M;G0S3G0;1;1;0;0;1;Propriété de la CS;-71.071366;46.505151;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
494;20201019;823060;823000;060;Aquarelle de Saint-Bernard, l';1492, rue du Couvent;;26055;Saint-Bernard;M;G0S2G0;1;1;0;0;1;Propriété de la CS;-71.135675;46.497289;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
495;20201019;734035;734000;035;Pionnière, de la;37, rue du Trait Carré;;21020;Saint-Joachim;P;G0A3X0;1;1;0;0;0;Propriété de la CS;-70.843583;47.05568;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
496;20201019;714006;714000;006;Orée-des-Bois, de l';504, rue Principale;;17060;Sainte-Louise;P;G0R3K0;1;1;0;0;1;Propriété de la CS;-70.133886;47.279201;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
497;20201019;714007;714000;007;Vents-et-Marées, des;101, rue de l'Église;;14065;Rivière-Ouelle;M;G0L2C0;1;1;0;0;1;Propriété de la CS;-70.014033;47.433134;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
498;20201019;714008;714000;008;Amitié, de l';24, rue Principale;;14075;Saint-Gabriel-Lalemant;M;G0L3E0;0;1;0;0;1;Propriété de la CS;-69.926836;47.381236;Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
499;20201019;821050;821000;050;Saint-François-Xavier;25, chemin des Pionniers Ouest;;17078;L'Islet;M;G0R2B0;1;1;0;0;0;Propriété de la CS;-70.374376;47.12625;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
500;20201019;821056;821000;056;Jeanne-De Chantal;88, rue Mgr Bernier;;17078;L'Islet;M;G0R1X0;1;1;0;0;0;Propriété de la CS;-70.339494;47.083487;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
501;20201019;821055;821000;055;Saint-Cyrille, de;282, rue de l'École;;17045;Saint-Cyrille-de-Lessard;P;G0R2W0;1;1;0;0;0;Propriété de la CS;-70.273015;47.03367;Préscolaire - Primaire;Franco;1_Imm_Franco_primaire
502;20201019;821052;821000;052;Saint-Jean;5, Place de l'Église;;17070;Saint-Jean-Port-Joli;M;G0R3G0;1;1;0;0;1;Propriété de la CS;-70.270358;47.216236;Préscolaire - Primaire - Éducation aux adultes;Franco;1_Imm_Franco_primaire
