idx,facility_name,facility_type,longitude,latitude,street_addr,provider
199,École du Marais,École primaire,45.426324,-75.806759,200 Rue du Marigot,Gatineau
200,Garderie Ami calin garderie,Service de garderie,45.522211,-75.693735,36 (B) Rue de Lotbinière,Gatineau
201,Parc-o-bus Saint-Luc,Parc-o-bus,45.578392,-75.423765,680 Rue Bergeron,Gatineau
202,Garderie éducative Enfantastique,Service de garderie,45.499258,-75.729118,226 Rue de la Plaine,Gatineau
203,Garderie éducative Enfantastique du Plateau,Service de garderie,45.436306,-75.77544,118 Boulevard du Plateau,Gatineau
204,Garderie Futur Einstein,Service de garderie,45.456376,-75.749747,179 Boulevard Riel,Gatineau
205,Garderie éducative Les petites Coccinelles,Service de garderie,45.426081,-75.733747,39 Boulevard Saint-Joseph,Gatineau
206,Centre de formation professionelle Vision-Avenir,Centre de formation,45.44753,-75.73674,30 Boulevard Saint-Raymond,Gatineau
207,Centre d'éducation des adultes de Hull,Centre de formation,45.450825,-75.744205,185 Rue Archambault,Gatineau
208,Centre de formation Compétences Outaouais,Centre de formation,45.485269,-75.661883,361 Boulevard Maloney Ouest,Gatineau
209,Centre Administration Commerce et Secrétariat de Gatineau,Centre de formation,45.48484,-75.652656,183 Rue Broadway Ouest,Gatineau
210,Place de la Francophonie,Autre parc,45.425315,-75.7239,11 Rue Montcalm,Gatineau
211,École du Nouveau-Monde Édifice Renaud,École primaire,45.471246,-75.689928,25 Rue Saint-Arthur,Gatineau
212,Maison du Vélo,Centre récréatif,45.441898,-75.707568,350 Rue Laurier,Gatineau
213,Parc Chalifoux,Parc récréatif,45.579336,-75.437292,115 Rue Walker,Gatineau
214,Parc-o-bus Rivermead,Parc-o-bus,45.403869,-75.79414,852 Chemin d'Aylmer,Gatineau
215,Parc-o-bus Centre Robert-Guertin,Parc-o-bus,45.434802,-75.722999,125 Rue de Carillon,Gatineau
216,Parc-o-bus Georges/Route 148,Parc-o-bus,45.542337,-75.431293,Rue Georges,Gatineau
217,Parc-o-bus De l'Encan,Parc-o-bus,45.553692,-75.436069,110 Rue Georges,Gatineau
218,Réservoir Main,Réservoir d'eau potable,45.500199,-75.653947,611 Rue Main,Gatineau
219,Poste communautaire des Promenades,Police municipale,45.475632,-75.697857,1100 Boulevard Maloney Ouest,Gatineau
