idx,facility_name,source_id,ISCED020,ISCED1,ISCED2,ISCED3,address_str,city,province,postal_code,provider,address_str_clean,street_no,street_name
197,Mount Pearl Senior High,311,0,0,1,1,"46 Ruth Ave Mount Pearl, NL A1N 2H5",Mount Pearl,NL,A1N 2H5,Province of Newfoundland and Labrador,46 ruth ave mount pearl nl a1n 2h5,46,ruth ave
198,Newtown Elementary,312,0,1,0,0,"25 Jackman Drive Mount Pearl, NL A1N 2P5",Mount Pearl,NL,A1N 2P5,Province of Newfoundland and Labrador,25 jackman drive mount pearl nl a1n 2p5,25,jackman drive
199,O'Donel High School,313,0,0,0,1,"Box 578 Mount Pearl, NL A1N 2W4",Mount Pearl,NL,A1N 2W4,Province of Newfoundland and Labrador,mount pearl nl a1n 2w4,,
200,St. Peter's Junior High,315,0,0,1,0,"Munden Dr Mount Pearl, NL A1N 2T5",Mount Pearl,NL,A1N 2T5,Province of Newfoundland and Labrador,munden dr mount pearl nl a1n 2t5,,munden dr
201,St. Peter's Primary,316,1,1,0,0,"108 Ashford Dr. Mount Pearl, NL A1N 3L6",Mount Pearl,NL,A1N 3L6,Province of Newfoundland and Labrador,108 ashford dr mount pearl nl a1n 3l6,108,ashford dr
202,All Hallows Elementary,278,1,1,0,0,"General Delivery North River, NL A0A 3C0",North River,NL,A0A 3C0,Province of Newfoundland and Labrador,general delivery north river nl a0a 3c0,,general delivery
203,Baccalieu Collegiate,476,0,0,1,1,"P. O. Box 10 Old Perlican, NL A0A 3G0",Old Perlican,NL,A0A 3G0,Province of Newfoundland and Labrador,p o old perlican nl a0a 3g0,,
204,Holy Family Elementary,318,1,1,0,0,"67 St. Thomas Line Paradise, NL A1L 1K9",Paradise,NL,A1L 1K9,Province of Newfoundland and Labrador,67 st thomas line paradise nl a1l 1k9,67,st thomas line
205,Octagon Pond Elementary,492,1,1,0,0,425 Topsail Road St. John's A1E 5N7,Paradise,NL,A1E 5N7,Province of Newfoundland and Labrador,425 topsail road st john's a1e 5n7,425,topsail road
206,Paradise Elementary,951,1,1,0,0,"60 Karwood Drive Paradise, NL A1L 2T8",Paradise,NL,A1L 2T8,Province of Newfoundland and Labrador,60 karwood drive paradise nl a1l 2t8,60,karwood drive
207,Elizabeth Park Elementary,952,1,1,0,0,"80 Ellesmere Avenue Paradise, NL A1L 0R7",Paradise,NL,A1L 0R7,Province of Newfoundland and Labrador,80 ellesmere avenue paradise nl a1l 0r7,80,ellesmere avenue
208,Laval High School,280,0,0,1,1,"P.O. Box 310 Placentia, NL A0B 2Y0",Placentia,NL,A0B 2Y0,Province of Newfoundland and Labrador,placentia nl a0b 2y0,,
