X,Y,OBJECTID,CSJGISSDE_GISDATA_Civics_patspa,CSJGISSDE_GISDATA_Civics_ABADTX,CSJGISSDE_GISDATA_Civics_Expr1,CSJGISSDE_GISDATA_Civics_ENCIVS,CSJGISSDE_GISDATA_Civics_FRCIVS,CSJGISSDE_sde_BP200AL4_BPLCID,CSJGISSDE_sde_BP200AL4_BPPCB,CSJGISSDE_sde_BP200AL4_BPPYER,CSJGISSDE_sde_BP200AL4_BPPCNB,CSJGISSDE_sde_BP200AL4_BPTNNB,CSJGISSDE_sde_BP200AL4_BPATYP,CSJGISSDE_sde_BP200AL4_BPASTS,CSJGISSDE_sde_BP200AL4_BPASDC,CSJGISSDE_sde_BP200AL4_BPASDT,CSJGISSDE_sde_BP200AL4_BPADAC,CSJGISSDE_sde_BP200AL4_BPADAT,CSJGISSDE_sde_BP200AL4_BPAMPN,CSJGISSDE_sde_BP200AL4_BPAOCA,CSJGISSDE_sde_BP200AL4_BPAPRB,CSJGISSDE_sde_BP200AL4_BPATNM,CSJGISSDE_sde_BP200AL4_BPEVAL,CSJGISSDE_sde_BP200AL4_BPPBLD,CSJGISSDE_sde_BP200AL4_BPAPGP,CSJGISSDE_sde_BP200AL4_BPUSTS,CSJGISSDE_sde_BP200AL4_BPRDCD,CSJGISSDE_sde_BP200AL4_BPASQF,CSJGISSDE_sde_BP200AL4_BPAPPN,CSJGISSDE_sde_BP200AL4_BPAPDS,CSJGISSDE_sde_BP200AL4_BPAEBY
2541075.75,7367699.149999998509884,38672,01557555,CN9989,00330951,1691 Loch Lomond Road,1691 chemin Loch Lomond,80384,1,17,970,     ,B112,AP,1,170911,1,170905,          ,0,PB ,                         ,23000, ,      ,CI,BI,0,051760    ,Construct 24'x24' detached garage                 ,PH1623    
2534502.850000001490116,7363574.45,38957,01627986,CN118564,00010934,125 Germain Street,125 rue Germain,118564,1,17,1201,     ,B213,AP,1,171026,1,171023,          ,0,PB ,                         ,8000, ,      ,CI,BI,0,645204    ,Reconstruct attached shed & reinstate window      ,PH1623    
2546223.149999998509884,7369857.95,39450,01560100,M86CN244,00433896,244 Morrison Road,244 chemin Morrison,119336,1,18,380,     ,B112,AP,1,180507,1,180427,          ,200,PB ,                         ,10000, ,      ,PI,BI,0,072380    ,Place engineered steel garage kit on existing slab,PH1623    
2529290.262299999595,7361013.423700001090765,40352,06359732,CN149704,55223226,393 Manchester Avenue,393 avenue Manchester,149704,1,18,1240,     ,B213,AP,1,181129,1,181119,          ,1100,PB ,EASTLINK                 ,110000, ,      ,PI,BI,0,427440    ,Install antenna on tower & new equipment shelter  ,PH1623    
2531067.044599998742342,7366191.0654,40425,06388692,CN150124,55224208,30 Macauley Avenue,30 avenue Macauley,150124,1,17,1296,     ,B112,AP,1,171123,1,171116,          ,200,PB ,                         ,4000, ,      ,PI,BI,0,188688    ,Construct 10'x12' shed                            ,TM2612    
2528269.585499998182058,7359324.09010000154376,40517,06536279,CN152100,55232557,40 Amy Crescent,40 croissant Amy,152100,1,18,416,     ,B213,AP,1,180518,1,180507,          ,200,PB ,                         ,30000, ,      ,PI,BI,0,580960    ,Construct 26' x 28' detached garage on vacant lot.,EB2594    
2545302.295000001788139,7369787.310699999332,40543,06558784,CN152352,55233134,170 Norris Road,170 chemin Norris,152352,1,18,835,     ,B112,AP,1,180817,1,180807,          ,200,PB ,                         ,50000, ,      ,PI,BI,0,843880    ,Construct 28x86 garage / workshop building        ,AB2476    
2526006.7245,7357294.186900001019239,40596,NOACC   ,CN152918,55222301,5 Alloy Drive,5 promenade Alloy,152918,1,18,362,     ,B213,AP,1,180507,1,180424,          ,300,PB ,                         ,9000, ,      ,PI,BI,0,708648    ,Install bulkwater dispensing equipment            ,EB2594    
2533392.081599999219,7365548.604699999094,40605,03576351,CN153016,00411900,20 Belyea Street,20 rue Belyea,153016,1,18,717,     ,B213,AP,1,181019,1,180712,          ,550,PB ,                         ,55000, ,      ,PI,BI,0,345801    ,Install engineered green house                    ,PH1623    
2533392.081599999219,7365548.604699999094,40606,03576351,CN153016,00411900,20 Belyea Street,20 rue Belyea,153016,1,19,448,     ,B213,AP,1,190603,1,190522,          ,300,PB ,                         ,20000, ,      ,PI,BI,0,705536    ,Construct two garden sheds                        ,JR7430    
2543869.499099999666,7369505.8649,40607,06608898,CN153028,55234629,50 Mallory Street,50 rue Mallory,153028,1,18,1142,     ,B112,AP,1,181024,1,181018,          ,200,PB ,                         ,30000, ,      ,PI,BI,0,181130    ,Build a 24' x 30' detached garage                 ,JR7430    
