idx1,idx2,Name_1,Name_2,Name_DL,Name_CS,Addr_CS,Addr_LCS,Address_1,Address_2,StrNum_Match,StrName_DL,StrName_CS,PC_Match,Distance,ISCED020_Match,ISCED1_Match,ISCED2_Match,ISCED3_Match,ISCED4+_Match
16086,15018,Jean Grou,Jean Grou,1.0,0.9999999999999998,0.38103173776627214,0.4225352112676056,12725 boul rodolphe forget montrAal h1e6p6,805 rue tassA montrAal h4l1n8,0,0.15000000000000002,0.13801311186847084,0,16.189367943999255,0,0,0,0,1
18910,17005,Institut Grasset,Institut Grasset,1.0,0.9999999999999998,0.646254208798879,0.627906976744186,220 av fairmount o montreal quebec canada 5142774027,220 av fairmount o montrAal h2t2m7,0,1.0,0.9999999999999999,0,0.0006352450199900549,1,1,1,1,1
15384,15027,HonorA Mercier,HonorA Mercier,1.0,1.0,0.4050957468334666,0.4225352112676056,8280 rue de nantes montrAal h1p2j1,1935 boul desmarchais montrAal h4e2b9,0,0.375,0.24253562503633297,0,15.226284459968667,0,0,0,0,1
15427,14517,FAlix Leclerc,FAlix Leclerc,1.0,1.0,0.34530694163709813,0.34210526315789475,1750 boul du tricentenaire montrAal h1b3b1,6055 av darlington montrAal h3s2h9,0,0.23809523809523814,0.0545544725589981,0,18.452976923094067,1,1,1,1,1
15108,14893,Enfants du Monde,Les Enfants du Monde,0.8,0.9102991273635126,0.4507489358552088,0.4444444444444444,2915 rue marcel montrAal h4r1b2,5350 av rosedale montrAal h4v2h9,0,0.09090909090909094,0.17407765595569785,0,7.947689765633717,1,1,1,1,1
18884,16918,Ecole de Technologie Superieure,Acole de technologie supArieure,0.8709677419354839,0.9185586535436918,0.5882657756927263,0.5510204081632653,1100 notre dame street west montreal quebec canada 5143968800,1100 rue notre dame o montrAal h3c1k3,0,0.31818181818181823,0.6170609073445336,0,10.896437832881267,1,1,1,1,1
18929,16906,Ecole Polytechnique de Montreal,Acole Polytechnique de MontrAal,0.935483870967742,0.9027075674773931,0.5902747259705948,0.5100671140939598,2900 boul edourd montpetit succ c ville montreal quebec canada 340 4711,campus de l universitA de montrAal 2900 boul Adouard montpetit montrAal h3t1j4,0,0.7307692307692308,0.7799204203436179,0,0.5137489501391106,1,1,1,1,1
18907,17082,Ecole National de Cirque,Acole nationale de cirque,0.84,0.9132660258954309,0.5092534540479526,0.5070422535211268,8181 2nd av montreal quebec canada 5149820859,8181 2e av montrAal h1z4n9,0,0.6666666666666667,0.6172133998483676,0,0.0005425123036123072,1,1,1,1,1
15592,14657,DauversiAre la,La DauversiAre,0.5714285714285714,0.9999999999999999,0.38711915425740623,0.37333333333333335,5485 rue jean talon e montrAal h1s1l8,11600 boul de l acadie montrAal h3m2t2,0,0.25,0.20025046972870353,0,9.689381862865265,0,0,0,0,1
18918,16922,Concordia University,UniversitA Concordia,0.19999999999999996,0.917463421851129,0.5181036310903636,0.4793388429752066,1550 de maisonneuve blvd w guy metro room 230 montreal quebec canada 5148482424,1455 boul de maisonneuve o montrAal h3g1m8,0,0.3548387096774194,0.6804138174397718,0,0.16237875350402192,1,1,1,1,1
16973,16971,CollAge de gestion technologie et santA Matrix inc ,CollAge de gestion technologie et santA Matrix inc ,1.0,1.0000000000000002,0.519993314957257,0.5892857142857143,1001 rue sherbrooke e bureaux 200 207 et 210 montrAal h2l1l3,1980 rue sherbrooke o 609 709 et 711 montrAal h3h1e8,0,0.19999999999999996,0.0,0,1.9438343555257953,1,1,1,1,1
16972,16974,CollAge de gestion technologie et santA Matrix inc (secteur anglophone),CollAge de gestion technologie et santA Matrix inc (secteur anglophone),1.0,1.0000000000000002,0.5763874626060793,0.6346153846153846,1980 rue sherbrooke o et 709 montrAal h3h1e8,1001 rue sherbrooke e bureaux 200 207 et 210 montrAal h2l1l3,0,0.17391304347826086,0.16317848796612636,0,3.265939470563898,1,1,1,1,1
17020,17018,CollAge TAV (secteur anglophone),CollAge TAV (secteur anglophone),1.0,1.0,0.3608439182435161,0.34285714285714286,6005 boul dAcarie montrAal h3w3c9,5030 rue jeanne mance montrAal h2v4j8,0,0.1875,0.16641005886756874,0,4.957889849898469,1,1,1,1,1
17019,17017,CollAge TAV,CollAge TAV,1.0,1.0000000000000002,0.784070202132019,0.8181818181818182,6005 boul dAcarie montrAal h3w3c9,6333 boul dAcarie montrAal h3w3e1,0,1.0,1.0000000000000002,0,0.17907667628671436,1,1,1,1,1
16862,17032,CollAge St Michel,CollAge St Michel,1.0,1.0000000000000002,0.563436169819011,0.5846153846153846,1995 rue bAlanger montrAal h2g1b8,1900 rue sauvA e montrAal h2b3a8,0,0.41666666666666663,0.37062465833055064,0,4.025118503156735,1,1,1,1,0
