idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
241,Sir John A. Macdonald High School,277,public,10 - 12,31 Scholars Rd Upper Tantallon NS B3Z 0C3 NS,31 Scholars Rd,B3Z 0C3,Upper Tantallon NS,Province of Nova Scotia,31 scholars rd upper tantallon ns b3z 0c3 ns,31,scholars rd
242,Sir Robert Borden Junior High School,320,public,07 - 9,16 Evergreen Dr Dartmouth NS B2W 4A7 NS,16 Evergreen Dr,B2W 4A7,Dartmouth NS,Province of Nova Scotia,16 evergreen dr dartmouth ns b2w 4a7 ns,16,evergreen dr
243,Smokey Drive Elementary School,355,public,PR - 5,241 Smokey Dr Lower Sackville NS B4C 3G1 NS,241 Smokey Dr,B4C 3G1,Lower Sackville NS,Province of Nova Scotia,241 smokey dr lower sackville ns b4c 3g1 ns,241,smokey dr
244,South Woodside School,535,public,PP - 6,5 Everette St Dartmouth NS B2W 1G2 NS,5 Everette St,B2W 1G2,Dartmouth NS,Province of Nova Scotia,5 everette st dartmouth ns b2w 1g2 ns,5,everette st
245,Springvale Elementary School,593,public,PP - 6,92 Downs Ave Halifax NS B3N 1Y6 NS,92 Downs Ave,B3N 1Y6,Halifax NS,Province of Nova Scotia,92 downs ave halifax ns b3n 1y6 ns,92,downs ave
246,St. Agnes Junior High School,575,public,07 - 9,6981 Mumford Rd Halifax NS B3L 2H7 NS,6981 Mumford Rd,B3L 2H7,Halifax NS,Province of Nova Scotia,6981 mumford rd halifax ns b3l 2h7 ns,6981,mumford rd
247,St. Catherine's Elementary School,577,public,PP - 6,3299 Connolly St Halifax NS B3L 3P7 NS,3299 Connolly St,B3L 3P7,Halifax NS,Province of Nova Scotia,3299 connolly st halifax ns b3l 3p7 ns,3299,connolly st
248,St. Joseph's-Alexander McKay Elementary School,580,public,PP - 6,5389 Russell St Halifax NS B3K 1W8 NS,5389 Russell St,B3K 1W8,Halifax NS,Province of Nova Scotia,5389 russell st halifax ns b3k 1w8 ns,5389,russell st
249,St. Margaret's Bay Elementary School,940,public,PR - 6,24 Ridgewood Dr Head of St. Margaret's Bay NS B3Z 2H4 NS,24 Ridgewood Dr,B3Z 2H4,Head of St. Margaret's Bay NS,Province of Nova Scotia,24 ridgewood dr head of st margaret's bay ns b3z 2h4 ns,24,ridgewood dr head of
250,St. Stephen's Elementary School,586,public,PP - 6,3669 Highland Ave Halifax NS B3K 4L9 NS,3669 Highland Ave,B3K 4L9,Halifax NS,Province of Nova Scotia,3669 highland ave halifax ns b3k 4l9 ns,3669,highland ave
251,Sunnyside Elementary School,299,public,PP - 6,210 Eaglewood Dr Bedford NS B4A 3E3 NS,210 Eaglewood Dr,B4A 3E3,Bedford NS,Province of Nova Scotia,210 eaglewood dr bedford ns b4a 3e3 ns,210,eaglewood dr
252,Sycamore Lane Elementary School,307,public,PP - 5,69 Sycamore Lane Lower Sackville NS B4C 1E8 NS,69 Sycamore Lane,B4C 1E8,Lower Sackville NS,Province of Nova Scotia,69 sycamore lane lower sackville ns b4c 1e8 ns,69,sycamore lane
253,Tallahassee Community School,85,public,PP - 3,168 Redoubt Way Eastern Passage NS B3G 1M5 NS,168 Redoubt Way,B3G 1M5,Eastern Passage NS,Province of Nova Scotia,168 redoubt way eastern passage ns b3g 1m5 ns,168,redoubt way
254,Tantallon Junior Elementary School,1186,public,PR - 2,1 French Village Stn Rd Upper Tantallon NS B3Z 1E4 NS,1 French Village Stn Rd,B3Z 1E4,Upper Tantallon NS,Province of Nova Scotia,1 french village stn rd upper tantallon ns b3z 1e4 ns,1,french village stn rd
255,Tantallon Senior Elementary School,284,public,03 - 6,3 French Village Stn Rd Upper Tantallon NS B3Z 1E4 NS,3 French Village Stn Rd,B3Z 1E4,Upper Tantallon NS,Province of Nova Scotia,3 french village stn rd upper tantallon ns b3z 1e4 ns,3,french village stn rd
256,Upper Musquodoboit Consolidated Elementary School,349,public,PP - 6,8416 Hwy 224 Upper Musquodoboit NS B0N 2M0 NS,8416 Hwy 224,B0N 2M0,Upper Musquodoboit NS,Province of Nova Scotia,8416 hwy 224 upper musquodoboit ns b0n 2m0 ns,8416,hwy 224
257,Waverley Memorial Elementary School,1157,public,PR - 6,2393 Rocky Lake Dr Waverley NS B2R 1S4 NS,2393 Rocky Lake Dr,B2R 1S4,Waverley NS,Province of Nova Scotia,2393 rocky lake dr waverley ns b2r 1s4 ns,2393,rocky lake dr
258,Westmount Elementary School,591,public,PR - 6,6700 Edward Arab Ave Halifax NS B3L 2E1 NS,6700 Edward Arab Ave,B3L 2E1,Halifax NS,Province of Nova Scotia,6700 edward arab ave halifax ns b3l 2e1 ns,6700,edward arab ave
259,William King Elementary School,294,public,PP - 6,91 St. Paul's Ave Herring Cove NS B3V 1H6 NS,91 St. Paul's Ave,B3V 1H6,Herring Cove NS,Province of Nova Scotia,91 st paul's ave herring cove ns b3v 1h6 ns,91,st paul's ave
260,Aldershot Elementary School,63,public,PP - 5,446 Aldershot Rd Kentville NS B4N 3A1 NS,446 Aldershot Rd,B4N 3A1,Kentville NS,Province of Nova Scotia,446 aldershot rd kentville ns b4n 3a1 ns,446,aldershot rd
261,Annapolis East Elementary School,746,public,PR - 5,325 Marshall St Middleton NS B0S 1P0 NS,325 Marshall St,B0S 1P0,Middleton NS,Province of Nova Scotia,325 marshall st middleton ns b0s 1p0 ns,325,marshall st
262,Annapolis West Education Centre,133,public,06 - 12,100 Champlain Dr Annapolis Royal NS B0S 1A0 NS,100 Champlain Dr,B0S 1A0,Annapolis Royal NS,Province of Nova Scotia,100 champlain dr annapolis royal ns b0s 1a0 ns,100,champlain dr
263,Avon View High School,993,public,09 - 12,225 Payzant Dr Windsor NS B0N 2T0 NS,225 Payzant Dr,B0N 2T0,Windsor NS,Province of Nova Scotia,225 payzant dr windsor ns b0n 2t0 ns,225,payzant dr
264,Berwick and District School,75,public,PP - 8,249 Veterans Dr Berwick NS B0P 1E0 NS,249 Veterans Dr,B0P 1E0,Berwick NS,Province of Nova Scotia,249 veterans dr berwick ns b0p 1e0 ns,249,veterans dr
265,Bridgetown Regional Community School,1192,public,PP - 12,25 Cromwell Crt Bridgetown NS B0S 1C0 NS,25 Cromwell Crt,B0S 1C0,Bridgetown NS,Province of Nova Scotia,25 cromwell crt bridgetown ns b0s 1c0 ns,25,cromwell crt
266,Brooklyn District Elementary School,363,public,PR - 5,8008 Hwy 14 Newport NS B0N 2A0 NS,8008 Hwy 14,B0N 2A0,Newport NS,Province of Nova Scotia,8008 hwy 14 newport ns b0n 2a0 ns,8008,hwy 14
267,Cambridge and District Elementary School,58,public,PP - 5,6113 Hwy 1 Cambridge NS B0P 1G0 NS,6113 Hwy 1,B0P 1G0,Cambridge NS,Province of Nova Scotia,6113 hwy 1 cambridge ns b0p 1g0 ns,6113,hwy 1
268,Central Kings Rural High School,67,public,04 - 12,6125 Hwy 1 Cambridge NS B0P 1G0 NS,6125 Hwy 1,B0P 1G0,Cambridge NS,Province of Nova Scotia,6125 hwy 1 cambridge ns b0p 1g0 ns,6125,hwy 1
269,Champlain Elementary School,965,public,PP - 5,109 North St Granville Ferry NS B0S 1K0 NS,109 North St,B0S 1K0,Granville Ferry NS,Province of Nova Scotia,109 north st granville ferry ns b0s 1k0 ns,109,north st
270,Clark Rutherford Memorial School,141,public,PP - 5,234 Spinnaker Dr Clementsport NS B0S 1E0 NS,234 Spinnaker Dr,B0S 1E0,Clementsport NS,Province of Nova Scotia,234 spinnaker dr clementsport ns b0s 1e0 ns,234,spinnaker dr
271,Coldbrook and District School,732,public,PP - 8,2305 English Mountain Rd Coldbrook NS B4R 1B6 NS,2305 English Mountain Rd,B4R 1B6,Coldbrook NS,Province of Nova Scotia,2305 english mountain rd coldbrook ns b4r 1b6 ns,2305,english mountain rd
272,Dr. Arthur Hines Elementary School,366,public,PP - 5,75 Musgrave Rd Summerville NS B0N 2K0 NS,75 Musgrave Rd,B0N 2K0,Summerville NS,Province of Nova Scotia,75 musgrave rd summerville ns b0n 2k0 ns,75,musgrave rd
273,Dwight Ross Elementary School,65,public,PP - 5,949 Tremont Mountain Rd Greenwood NS B0P 1N0 NS,949 Tremont Mountain Rd,B0P 1N0,Greenwood NS,Province of Nova Scotia,949 tremont mountain rd greenwood ns b0p 1n0 ns,949,tremont mountain rd
274,Evangeline Middle School,753,public,06 - 8,9387 Commercial St New Minas NS B4N 3G3 NS,9387 Commercial St,B4N 3G3,New Minas NS,Province of Nova Scotia,9387 commercial st new minas ns b4n 3g3 ns,9387,commercial st
275,Falmouth District School,362,public,PR - 5,30 School St Falmouth NS B0P 1L0 NS,30 School St,B0P 1L0,Falmouth NS,Province of Nova Scotia,30 school st falmouth ns b0p 1l0 ns,30,school st
276,Gaspereau Valley Elementary School,60,public,PP - 5,2781 Greenfield Rd Wolfville NS B4P 2R1 NS,2781 Greenfield Rd,B4P 2R1,Wolfville NS,Province of Nova Scotia,2781 greenfield rd wolfville ns b4p 2r1 ns,2781,greenfield rd
