idx,facility_name,source_id,authority_type,grade_range,address_str,street_addr,postal_code,city,provider,address_str_clean,street_no,street_name
350,Clark's Harbour Elementary School,511,public,PP - 6,29 School St Clark's Harbour NS B0W 1P0 NS,29 School St,B0W 1P0,Clark's Harbour NS,Province of Nova Scotia,29 school st clark's harbour ns b0w 1p0 ns,29,school st
351,Digby Elementary School,541,public,PP - 6,20 Shreve St Digby NS B0V 1A0 NS,20 Shreve St,B0V 1A0,Digby NS,Province of Nova Scotia,20 shreve st digby ns b0v 1a0 ns,20,shreve st
352,Digby Neck Consolidated School,257,public,PR - 6,6203 Sandy Cove Rd Sandy Cove NS B0V 1E0 NS,6203 Sandy Cove Rd,B0V 1E0,Sandy Cove NS,Province of Nova Scotia,6203 sandy cove rd sandy cove ns b0v 1e0 ns,6203,sandy cove rd
353,Digby Regional High School,709,public,07 - 12,107 King St Digby NS B0V 1A0 NS,107 King St,B0V 1A0,Digby NS,Province of Nova Scotia,107 king st digby ns b0v 1a0 ns,107,king st
354,Drumlin Heights Consolidated School,981,public,PP - 12,RR 1 Hwy 3 5428 Glenwood NS B0W 1W0 NS,RR 1 Hwy 3 5428,B0W 1W0,Glenwood NS,Province of Nova Scotia,rr 1 hwy 3 5428 glenwood ns b0w 1w0 ns,,rr 1 hwy 3 5428
355,Evelyn Richardson Memorial Elementary School,733,public,PP - 6,5961 Hwy 3 Shag Harbour NS B0W 3B0 NS,5961 Hwy 3,B0W 3B0,Shag Harbour NS,Province of Nova Scotia,5961 hwy 3 shag harbour ns b0w 3b0 ns,5961,hwy 3
356,Forest Ridge Academy,927,public,PP - 6,59 Forest View Dr Barrington NS B0W 1E0 NS,59 Forest View Dr,B0W 1E0,Barrington NS,Province of Nova Scotia,59 forest view dr barrington ns b0w 1e0 ns,59,forest view dr
357,Hillcrest Academy,79,public,PP - 6,127 King St Shelburne NS B0T 1W0 NS,127 King St,B0T 1W0,Shelburne NS,Province of Nova Scotia,127 king st shelburne ns b0t 1w0 ns,127,king st
358,Islands Consolidated School,259,public,PP - 12,75 Overcove Rd Freeport NS B0V 1B0 NS,75 Overcove Rd,B0V 1B0,Freeport NS,Province of Nova Scotia,75 overcove rd freeport ns b0v 1b0 ns,75,overcove rd
359,Lockeport Elementary School,624,public,PP - 6,73 Beach St Lockeport NS B0T 1L0 NS,73 Beach St,B0T 1L0,Lockeport NS,Province of Nova Scotia,73 beach st lockeport ns b0t 1l0 ns,73,beach st
360,Lockeport Regional High School,711,public,07 - 12,10 Locke St Lockeport NS B0T 1L0 NS,10 Locke St,B0T 1L0,Lockeport NS,Province of Nova Scotia,10 locke st lockeport ns b0t 1l0 ns,10,locke st
361,Maple Grove Education Centre,410,public,07 - 8,52 Grove Memorial Dr Hebron NS B0W 1X0 NS,52 Grove Memorial Dr,B0W 1X0,Hebron NS,Province of Nova Scotia,52 grove memorial dr hebron ns b0w 1x0 ns,52,grove memorial dr
362,Meadowfields Community School,928,public,PP - 6,106 Prospect St Yarmouth NS B5A 4J2 NS,106 Prospect St,B5A 4J2,Yarmouth NS,Province of Nova Scotia,106 prospect st yarmouth ns b5a 4j2 ns,106,prospect st
363,Plymouth School,199,public,PP - 6,849 Hwy 334 Yarmouth NS B0W 1B0 NS,849 Hwy 334,B0W 1B0,Yarmouth NS,Province of Nova Scotia,849 hwy 334 yarmouth ns b0w 1b0 ns,849,hwy 334
364,Port Maitland Consolidated School,498,public,PP - 6,3072 Hwy 1 Port Maitland NS B5A 5T3 NS,3072 Hwy 1,B5A 5T3,Port Maitland NS,Province of Nova Scotia,3072 hwy 1 port maitland ns b5a 5t3 ns,3072,hwy 1
365,Shelburne Regional High School,716,public,07 - 12,415 Woodlawn Dr Shelburne NS B0T 1W0 NS,415 Woodlawn Dr,B0T 1W0,Shelburne NS,Province of Nova Scotia,415 woodlawn dr shelburne ns b0t 1w0 ns,415,woodlawn dr
366,St. Mary's Bay Academy,977,public,07 - 12,4079 Hwy 1 Weymouth NS B0W 3T0 NS,4079 Hwy 1,B0W 3T0,Weymouth NS,Province of Nova Scotia,4079 hwy 1 weymouth ns b0w 3t0 ns,4079,hwy 1
367,Weymouth Consolidated School,256,public,PP - 6,4695 Hwy 1 Weymouth NS B0W 3T0 NS,4695 Hwy 1,B0W 3T0,Weymouth NS,Province of Nova Scotia,4695 hwy 1 weymouth ns b0w 3t0 ns,4695,hwy 1
368,Yarmouth Consolidated Memorial High School,1178,public,09 - 12,146 Forest St Yarmouth NS B5A 0B3 NS,146 Forest St,B5A 0B3,Yarmouth NS,Province of Nova Scotia,146 forest st yarmouth ns b5a 0b3 ns,146,forest st
369,Yarmouth Elementary School,1199,public,PP - 6,5 Brunswick St Yarmouth NS B5A 3A9 NS,5 Brunswick St,B5A 3A9,Yarmouth NS,Province of Nova Scotia,5 brunswick st yarmouth ns b5a 3a9 ns,5,brunswick st
