BRIDGE_NO,BRIDGE_NAME,LOCATION,LENGTH_BRIDGE,WIDTH_CLEAR,WIDTH_OUT_TO_OUT,POSTED_CLEARANCE,POSTED_LOAD,IN_SERVICE_DATE,multipolygon
384.317B,,Country Hills Bv EB/CPR,20,9.39999962,13.56999969,,,1991/07/01,"MULTIPOLYGON (((-114.039714270546 51.154178160275, -114.039704081162 51.154212694448, -114.039703578036 51.154214400838, -114.039702786999 51.154217080895, -114.039406196245 51.154218560183, -114.039407383818 51.15421486687, -114.039407479338 51.154214571081, -114.039420323095 51.1541746432, -114.039421798647 51.154170051732, -114.039435630358 51.154127052681, -114.039436212025 51.154125244683, -114.039444865737 51.154098337797, -114.039735722212 51.154096789342, -114.039737482733 51.154099491007, -114.039730391949 51.154123521622, -114.039729670757 51.154125967928, -114.039716481169 51.154170671217, -114.039715627422 51.154173564349, -114.039714270546 51.154178160275)))"
383.504B,,NB Barlow Tr/WHC,173,10,11.10000038,,,2001/07/01,"MULTIPOLYGON (((-113.981714389925 50.965028192819, -113.981714353363 50.96513583196, -113.981714350884 50.965142148233, -113.981714341737 50.965169074649, -113.981714331733 50.965198184701, -113.981714329069 50.965204969345, -113.981714299283 50.965291723249, -113.981714146718 50.965734740618, -113.981714071751 50.965954705282, -113.981714043517 50.966033877133, -113.981714034348 50.966060857484, -113.981713999405 50.966164368464, -113.981713966931 50.966257962735, -113.98171394701 50.96631595898, -113.981713890156 50.966482529285, -113.98163389594 50.96646415316, -113.98156789656 50.966448991264, -113.981560264988 50.966447238836, -113.981560339975 50.966279405458, -113.98156037043 50.966209668464, -113.981560408273 50.96612486717, -113.981560453695 50.966020921981, -113.981560467887 50.965992265022, -113.981560501993 50.96591330803, -113.981560599482 50.965695820073, -113.981560792612 50.965261904937, -113.981560833054 50.965170534742, -113.981560836115 50.965162803466, -113.981560848633 50.965134777591, -113.98156086171 50.96510533941, -113.981560863446 50.965100955057, -113.981560899108 50.965021657338, -113.981560844208 50.96500210529, -113.981560491312 50.964875832809, -113.981584609479 50.964881310538, -113.981630894229 50.964891821574, -113.981702544171 50.964908094572, -113.981704653784 50.964908573162, -113.981714453093 50.964910798787, -113.981714393759 50.96501842624, -113.981714389925 50.965028192819)))"
381.155,,Macleod Tr/146 Ave S,257,2.5,2.9000001,NB 6.1 M / SB +6.5 M / Parking Lot 3.9 M,,2001/07/01,"MULTIPOLYGON (((-114.073861156278 50.922513156287, -114.072662979326 50.922513908016, -114.071373458888 50.922614790834, -114.070162765642 50.922615524558, -114.070162717937 50.922583806339, -114.071373379069 50.922583072635, -114.072659303436 50.922482470743, -114.0738611065 50.922481716757, -114.073861156278 50.922513156287)))"
381.623B,,Inglewood Bird C,20.39999962,2,2,,,1999/07/01,"MULTIPOLYGON (((-114.0087997685 51.025109527152, -114.008799851378 51.025110590635, -114.008798645443 51.025110614099, -114.008796745311 51.0251106511, -114.008782698874 51.025110923648, -114.00864885146 51.02511352448, -114.008622930976 51.025114028024, -114.008622739285 51.025110365609, -114.008621909587 51.025094567959, -114.008621800868 51.025092498523, -114.008644477034 51.025092217266, -114.008779131374 51.025090549516, -114.008798266704 51.025090312545, -114.008798509621 51.025093425682, -114.008799697053 51.025108606606, -114.0087997685 51.025109527152)))"
382.134,,32 Ave/Deerfoot Tr NE,,,,,,1976/07/01,"MULTIPOLYGON (((-114.034929829761 51.081600297512, -114.033293806873 51.081590808904, -114.033037365565 51.08135443428, -114.034669578006 51.081360069237, -114.034929569828 51.081600053969, -114.034929829761 51.081600297512)))"
384.305,,Memorial Dr EB/CPR NE,,,,,,1969/07/01,"MULTIPOLYGON (((-114.02054059646 51.047757172649, -114.02027451355 51.047774981012, -114.020219235924 51.04777868177, -114.020185571059 51.047780935021, -114.020153820037 51.047783060278, -114.02003934577 51.047790722129, -114.020036224003 51.047790931226, -114.020002266916 51.047793551255, -114.019817219193 51.047807828798, -114.019713984485 51.047815794075, -114.019709945739 51.047816105801, -114.019444421658 51.047838348611, -114.019374528094 51.047844203541, -114.019322503653 51.047848561384, -114.019183859511 51.047861998694, -114.019131166473 51.047867105406, -114.019110616342 51.047869096396, -114.01893894353 51.04788573466, -114.01888253116 51.047891201452, -114.018828814371 51.047685986304, -114.01888192476 51.047680043617, -114.0190540507 51.047660784856, -114.019072035084 51.047658772718, -114.019102510562 51.047655363332, -114.019148356396 51.047650233482, -114.019265937196 51.04763707747, -114.019322470131 51.047630880508, -114.019434486357 51.047618599946, -114.019646529539 51.047595354814, -114.019648667239 51.047595119823, -114.01968426939 51.047591111606, -114.019716249286 51.047587510324, -114.019937618482 51.047562584708, -114.019970202997 51.047558915831, -114.020028244463 51.047552380256, -114.020095184712 51.047544986401, -114.020181602346 51.0475354415, -114.020214855684 51.047531767944, -114.0204624972 51.047504414055, -114.020468113097 51.04750379368, -114.02054059646 51.047757172649)))"
381.154,,Macleod Tr/Canyon Meadows LRT,212.5,2.54999995,3.5,NB 5.4 M / SB 5.5 M,,2001/07/01,"MULTIPOLYGON (((-114.070391814486 50.936482818762, -114.070391860373 50.936513214492, -114.069809718018 50.936512398837, -114.069809803795 50.936569690531, -114.069715429227 50.936567407735, -114.069718936879 50.936488812323, -114.069228236674 50.936472855886, -114.069225008947 50.936512477196, -114.069059926372 50.936507109074, -114.069061452259 50.93648836962, -114.069039881193 50.936489779405, -114.068383848238 50.936541068914, -114.068379381593 50.936538699993, -114.068383949785 50.936570534156, -114.068234092161 50.936578906005, -114.068230586839 50.93655385949, -114.068230803089 50.936553853969, -114.068230519268 50.936553380367, -114.068230586839 50.93655385949, -114.067678629952 50.936566360182, -114.067457441453 50.936593659235, -114.067456291147 50.93659316096, -114.067455488362 50.936593900393, -114.067457441453 50.936593659235, -114.067475439187 50.936601461961, -114.067411962089 50.936658855091, -114.067324001093 50.936620013719, -114.067386948251 50.936563099206, -114.06742340921 50.936578905782, -114.067434012001 50.936578226317, -114.067675661634 50.936548400978, -114.068226443156 50.936535927057, -114.068224364105 50.936509392778, -114.068221314561 50.936487596745, -114.068370848956 50.936479242182, -114.068375959049 50.936514850888, -114.068394886567 50.93651336636, -114.069061784818 50.936461227111, -114.069063777437 50.936459826205, -114.069067632695 50.936412498384, -114.069238372054 50.936418051031, -114.069235964541 50.936447602266, -114.069720083949 50.936463345044, -114.069808930924 50.936480830368, -114.070018026542 50.936480705192, -114.070017884162 50.936385890578, -114.070017881596 50.9363841816, -114.070017854476 50.936366121802, -114.070145533012 50.936366045182, -114.070145708909 50.936482966843, -114.070391814486 50.936482818762)))"
381.126,,Crowchild Tr/Vienna Dr NW,65,2.28999996,2.28999996,5.6 M,,1977/07/01,"MULTIPOLYGON (((-114.15794000278 51.102864255346, -114.157893650767 51.102851360263, -114.15842149625 51.102231916512, -114.158467858866 51.102248051243, -114.157950315338 51.102870720257, -114.15794000278 51.102864255346)))"
382.126,,16 Ave WB/Deerfoot Tr NE,,,,5.1 M,,1971/07/01,"MULTIPOLYGON (((-114.027697318354 51.067498246176, -114.02762716439 51.067500528181, -114.027544345244 51.067503138555, -114.02737097995 51.067506566594, -114.027351965671 51.067506877593, -114.027258482242 51.067508408799, -114.027247579028 51.067508587539, -114.027187344547 51.06750957335, -114.027128743442 51.067510106568, -114.027056409819 51.067510765197, -114.02702278263 51.067511070534, -114.027020063225 51.067511078354, -114.026973409589 51.067511203298, -114.026956485358 51.067511249453, -114.026853240699 51.067511526725, -114.026832969288 51.067511581722, -114.026737801066 51.067511054258, -114.026646121293 51.067510546597, -114.026626110829 51.0675103381, -114.026612676352 51.067510197324, -114.026530184731 51.067509336882, -114.026430223729 51.067508294246, -114.026236285737 51.067503962648, -114.026072884662 51.067499433339, -114.026074862202 51.067489359941, -114.026076168231 51.067482707273, -114.026091186116 51.06740620249, -114.026105818406 51.06733166204, -114.026107500013 51.067323094482, -114.026125656635 51.067284571366, -114.026140818125 51.067273301187, -114.026144801385 51.067270340888, -114.026145522207 51.067270892694, -114.02616721825 51.067287500802, -114.02618123834 51.067296485564, -114.026198906255 51.067307296212, -114.02620496109 51.067309259104, -114.026212950962 51.067311848144, -114.026272747951 51.067312202399, -114.02634239508 51.067312224482, -114.026386652813 51.067311782096, -114.026425837029 51.067311390283, -114.02654836557 51.067309116894, -114.026556001489 51.067308975819, -114.02664211688 51.067307636537, -114.026655471199 51.067307428528, -114.026695732475 51.067306802647, -114.026766306088 51.067305265452, -114.026821326823 51.0673040671, -114.026880540487 51.067302343659, -114.026924724952 51.067301057852, -114.026943141209 51.067300521419, -114.026961417645 51.06729998951, -114.027047312378 51.067297090267, -114.027103134532 51.067295205683, -114.0271608941 51.067293122848, -114.02725603958 51.067289692708, -114.027274755278 51.067288869382, -114.027286037772 51.067288374113, -114.02738703804 51.067283931159, -114.027390373709 51.067283784744, -114.027487453039 51.067279013599, -114.027513804444 51.067277719176, -114.027638644361 51.067270946554, -114.02766067977 51.067269562322, -114.027722463082 51.067265680318, -114.02772220768 51.067268046468, -114.027716856944 51.067317538723, -114.027705370766 51.067423767316, -114.027702181025 51.067453277655, -114.02769964256 51.067476750358, -114.027699289245 51.067480014601, -114.027698646472 51.067485963237, -114.027697318354 51.067498246176)))"
382.200,,Nose Hill Dr / Crowchild Tr NW,81,29.39999962,36.58000183,None (> 6.0 m),,2007/07/01,"MULTIPOLYGON (((-114.201970589309 51.12096793986, -114.201546386248 51.120809832184, -114.202232462466 51.120189568085, -114.202663235324 51.120378291363, -114.201981163751 51.120967921597, -114.201970589309 51.12096793986)))"
