OBJECTID,DT_MAJ_GDUNO,CD_IMM,CD_CS,NUM_IMM_CS,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,PRESC,PRIM,SEC,FORM_PRO,ADULTE,STAT_PROP_IMM,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,TYPE_CS,STYLE_CART,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4+
2489,20201019,762138,762000,138,La Mennais,"6521, rue Saint-Denis",,66023,Montréal,V,H2S2S1,1,1,0,0,0,Propriété de la CS,-73.605613,45.534815,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2490,20201019,887034,887000,34,Galileo Complex,"10921, avenue Gariépy",,66023,Montréal,V,H1H4C6,0,0,0,1,1,Propriété de la CS,-73.63829,45.590776,Formation professionnelle - Éducation aux adultes,Anglo,4_Imm_Anglo_Fp_Adulte,0,0,0,0,1
2491,20201019,762365,762000,365,Sainte-Jeanne-d'Arc,"3700, rue Sherbrooke Est",,66023,Montréal,V,H1X1Z8,1,1,0,0,0,Propriété de la CS,-73.554424,45.549194,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2492,20201019,762140,762000,140,Saint-Jean-Baptiste-de-la-Salle,"2355, boulevard Pie IX",,66023,Montréal,V,H1V2E6,1,1,0,0,0,Propriété de la CS,-73.546324,45.552143,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2493,20201019,762419,762000,419,Gadbois,"8305, rue Saint-André",,66023,Montréal,V,H2P1Y7,1,1,0,0,0,Propriété de la CS,-73.628587,45.548072,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2494,20201019,762046,762000,46,Saint-Léon-de-Westmount,"360, avenue Clarke",,66032,Westmount,V,H3Z2E6,1,1,0,0,0,Propriété de la CS,-73.592861,45.485748,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2495,20201019,887039,887000,39,Mountainview,"7450, chemin de la Côte-St-Luc",,66058,Côte-Saint-Luc,V,H4W1R1,0,0,1,0,0,Propriété de la CS,-73.658889,45.46021,Secondaire,Anglo,3_Imm_Anglo_secondaire,0,0,1,1,0
2496,20201019,761065,761000,65,Centre Ferland / La Relance,"10339, avenue du Parc-Georges",,66023,Montréal,V,H1H4Y4,0,0,1,0,1,Propriété de la CS,-73.640447,45.582054,Secondaire - Éducation aux adultes,Franco,3_Imm_Franco_secondaire,0,0,1,1,0
2497,20201019,762303,762000,303,"Transitoire - Le 8300, rue de Teck","8300, rue de Teck",,66023,Montréal,V,H1L1H4,1,1,0,0,0,Propriété de la CS,-73.529841,45.598963,Préscolaire - Primaire,Franco,1_Imm_Franco_primaire,1,1,0,0,0
2498,20201019,762025,762000,25,Georges-Vanier,"1205, rue Jarry Est",,66023,Montréal,V,H2P1W9,0,0,1,0,0,Propriété de la CS,-73.625288,45.550218,Secondaire,Franco,3_Imm_Franco_secondaire,0,0,1,1,0
